name,Networked Electrolysis: St Fergus,Networked Electrolysis: Grangemouth,Networked Electrolysis: Teesside,Networked Electrolysis: Humberside,Networked Electrolysis: Theddlethorpe,Networked Electrolysis: Merseyside,Networked Electrolysis: Barrow,Networked Electrolysis: Bacton,Networked Electrolysis: Grain LNG,Networked Electrolysis: Southampton,Networked Electrolysis: South Wales,Non-networked Electrolysis: St Fergus,Non-networked Electrolysis: Grangemouth,Non-networked Electrolysis: Teesside,Non-networked Electrolysis: Humberside,Non-networked Electrolysis: Theddlethorpe,Non-networked Electrolysis: Merseyside,Non-networked Electrolysis: Barrow,Non-networked Electrolysis: Bacton,Non-networked Electrolysis: Grain LNG,Non-networked Electrolysis: Southampton,Non-networked Electrolysis: South Wales
2050-01-01 00:00:00,0.9911203138181444,0.9911203138181444,0.9911203138181444,0.9911203138181444,0.9911203138181444,0.9911203138181444,0.9911203138181444,0.9911203138181444,0.9911203138181444,0.9911203138181444,0.9911203138181444,0.7608987131000665,0.7608987131000665,0.7608987131000665,0.7608987131000665,0.7608987131000665,0.7608987131000665,0.7608987131000665,0.7608987131000665,0.7608987131000665,0.7608987131000665,0.7608987131000665
2050-01-01 01:00:00,0.9924624577363678,0.9924624577363678,0.9924624577363678,0.9924624577363678,0.9924624577363678,0.9924624577363678,0.9924624577363678,0.9924624577363678,0.9924624577363678,0.9924624577363678,0.9924624577363678,0.8108565369567137,0.8108565369567137,0.8108565369567137,0.8108565369567137,0.8108565369567137,0.8108565369567137,0.8108565369567137,0.8108565369567137,0.8108565369567137,0.8108565369567137,0.8108565369567137
2050-01-01 02:00:00,0.9939223217436608,0.9939223217436608,0.9939223217436608,0.9939223217436608,0.9939223217436608,0.9939223217436608,0.9939223217436608,0.9939223217436608,0.9939223217436608,0.9939223217436608,0.9939223217436608,0.8251952623264994,0.8251952623264994,0.8251952623264994,0.8251952623264994,0.8251952623264994,0.8251952623264994,0.8251952623264994,0.8251952623264994,0.8251952623264994,0.8251952623264994,0.8251952623264994
2050-01-01 03:00:00,0.9963477832914094,0.9963477832914094,0.9963477832914094,0.9963477832914094,0.9963477832914094,0.9963477832914094,0.9963477832914094,0.9963477832914094,0.9963477832914094,0.9963477832914094,0.9963477832914094,0.8301886582475749,0.8301886582475749,0.8301886582475749,0.8301886582475749,0.8301886582475749,0.8301886582475749,0.8301886582475749,0.8301886582475749,0.8301886582475749,0.8301886582475749,0.8301886582475749
2050-01-01 04:00:00,0.9949135025074433,0.9949135025074433,0.9949135025074433,0.9949135025074433,0.9949135025074433,0.9949135025074433,0.9949135025074433,0.9949135025074433,0.9949135025074433,0.9949135025074433,0.9949135025074433,0.8096457482034002,0.8096457482034002,0.8096457482034002,0.8096457482034002,0.8096457482034002,0.8096457482034002,0.8096457482034002,0.8096457482034002,0.8096457482034002,0.8096457482034002,0.8096457482034002
2050-01-01 05:00:00,0.9894436824244194,0.9894436824244194,0.9894436824244194,0.9894436824244194,0.9894436824244194,0.9894436824244194,0.9894436824244194,0.9894436824244194,0.9894436824244194,0.9894436824244194,0.9894436824244194,0.7913112735730203,0.7913112735730203,0.7913112735730203,0.7913112735730203,0.7913112735730203,0.7913112735730203,0.7913112735730203,0.7913112735730203,0.7913112735730203,0.7913112735730203,0.7913112735730203
2050-01-01 06:00:00,0.986071708744601,0.986071708744601,0.986071708744601,0.986071708744601,0.986071708744601,0.986071708744601,0.986071708744601,0.986071708744601,0.986071708744601,0.986071708744601,0.986071708744601,0.7766924815476745,0.7766924815476745,0.7766924815476745,0.7766924815476745,0.7766924815476745,0.7766924815476745,0.7766924815476745,0.7766924815476745,0.7766924815476745,0.7766924815476745,0.7766924815476745
2050-01-01 07:00:00,0.985052227269135,0.985052227269135,0.985052227269135,0.985052227269135,0.985052227269135,0.985052227269135,0.985052227269135,0.985052227269135,0.985052227269135,0.985052227269135,0.985052227269135,0.7603176663449462,0.7603176663449462,0.7603176663449462,0.7603176663449462,0.7603176663449462,0.7603176663449462,0.7603176663449462,0.7603176663449462,0.7603176663449462,0.7603176663449462,0.7603176663449462
2050-01-01 08:00:00,0.984379126573736,0.984379126573736,0.984379126573736,0.984379126573736,0.984379126573736,0.984379126573736,0.984379126573736,0.984379126573736,0.984379126573736,0.984379126573736,0.984379126573736,0.7454942590776845,0.7454942590776845,0.7454942590776845,0.7454942590776845,0.7454942590776845,0.7454942590776845,0.7454942590776845,0.7454942590776845,0.7454942590776845,0.7454942590776845,0.7454942590776845
2050-01-01 09:00:00,0.9863620584337497,0.9863620584337497,0.9863620584337497,0.9863620584337497,0.9863620584337497,0.9863620584337497,0.9863620584337497,0.9863620584337497,0.9863620584337497,0.9863620584337497,0.9863620584337497,0.7388954930860118,0.7388954930860118,0.7388954930860118,0.7388954930860118,0.7388954930860118,0.7388954930860118,0.7388954930860118,0.7388954930860118,0.7388954930860118,0.7388954930860118,0.7388954930860118
