bus,p_nom,p_min_pu,type
St Fergus,0.0,1,Nuclear Electrolysis
Grangemouth,0.0,1,Nuclear Electrolysis
Teesside,0.0,1,Nuclear Electrolysis
Humberside,0.0,1,Nuclear Electrolysis
Theddlethorpe,0.0,1,Nuclear Electrolysis
Merseyside,713.4703196347032,1,Nuclear Electrolysis
Barrow,0.0,1,Nuclear Electrolysis
Bacton,713.4703196347032,1,Nuclear Electrolysis
Grain LNG,713.4703196347032,1,Nuclear Electrolysis
Southampton,0.0,1,Nuclear Electrolysis
South Wales,713.4703196347032,1,Nuclear Electrolysis
