bus,p_nom,p_min_pu,type
St Fergus,0.0,0,Imports
Grangemouth,0.0,0,Imports
Teesside,0.0,0,Imports
Humberside,0.0,0,Imports
Theddlethorpe,0.0,0,Imports
Merseyside,0.0,0,Imports
Barrow,0.0,0,Imports
Bacton,0.0,0,Imports
Grain LNG,0.0,0,Imports
Southampton,0.0,0,Imports
South Wales,0.0,0,Imports
